"요일별","시간대별","월별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"월","10시-12시","12월","사고건수[건]","건","237","245","253","230","207","173","313","336","237","246","215",
"월","10시-12시","12월","사망자수[명]","명","5","5","4","5","5","4","5","3","2","5","7",
"월","10시-12시","12월","부상자수[명]","명","354","357","361","312","287","258","435","449","315","326","300",
"월","12시-14시","전체","사고건수[건]","건","2800","2723","3070","3093","3040","3003","3238","3471","3443","3267","3049",
"월","12시-14시","전체","사망자수[명]","명","61","56","63","56","53","42","42","46","54","41","22",
"월","12시-14시","전체","부상자수[명]","명","4195","4034","4484","4615","4489","4414","4793","5018","4881","4727","4308",
"월","12시-14시","1월","사고건수[건]","건","239","166","221","214","223","290","272","235","243","196","278",
"월","12시-14시","1월","사망자수[명]","명","4","4","2","2","4","4","7","4","2","2","2",
"월","12시-14시","1월","부상자수[명]","명","405","241","333","325","327","462","385","322","368","267","408",
"월","12시-14시","2월","사고건수[건]","건","186","154","199","217","263","216","242","209","269","256","220",
"월","12시-14시","2월","사망자수[명]","명","4","2","3","1","4","2","3","3","8","1","1",
"월","12시-14시","2월","부상자수[명]","명","273","286","265","309","421","336","356","317","395","351","297",
"월","12시-14시","3월","사고건수[건]","건","190","201","251","304","225","216","228","225","257","292","193",
"월","12시-14시","3월","사망자수[명]","명","2","2","3","7","6","3","3","2","4","2","0",
"월","12시-14시","3월","부상자수[명]","명","285","270","327","436","310","292","333","330","361","420","254",
"월","12시-14시","4월","사고건수[건]","건","304","238","242","228","250","227","318","333","280","239","243",
"월","12시-14시","4월","사망자수[명]","명","13","2","3","3","2","1","4","4","4","3","3",
"월","12시-14시","4월","부상자수[명]","명","459","332","352","324","372","309","466","464","381","331","326",
"월","12시-14시","5월","사고건수[건]","건","235","240","237","259","316","307","248","292","274","308","327",
"월","12시-14시","5월","사망자수[명]","명","1","7","8","3","8","3","1","8","8","10","6",
"월","12시-14시","5월","부상자수[명]","명","352","341","338","388","442","436","394","448","386","436","445",
"월","12시-14시","6월","사고건수[건]","건","208","207","263","278","249","227","281","272","373","264","244",
"월","12시-14시","6월","사망자수[명]","명","5","5","9","4","5","5","5","2","3","4","3",
"월","12시-14시","6월","부상자수[명]","명","280","334","403","384","383","309","395","395","522","372","353",
"월","12시-14시","7월","사고건수[건]","건","282","264","249","232","246","277","288","336","237","268","266",
"월","12시-14시","7월","사망자수[명]","명","5","8","7","3","4","3","4","3","3","2","1",
"월","12시-14시","7월","부상자수[명]","명","447","433","350","354","350","401","463","499","317","384","359",
"월","12시-14시","8월","사고건수[건]","건","214","245","275","342","308","293","256","298","315","347","314",
"월","12시-14시","8월","사망자수[명]","명","3","6","6","7","5","6","2","4","8","5","1",
"월","12시-14시","8월","부상자수[명]","명","308","373","427","560","511","475","372","438","464","527","467",
"월","12시-14시","9월","사고건수[건]","건","208","291","326","258","243","213","253","379","298","278","207",
"월","12시-14시","9월","사망자수[명]","명","3","8","6","9","7","7","2","7","3","2","2",
"월","12시-14시","9월","부상자수[명]","명","303","412","521","414","334","320","416","571","407","434","314",
"월","12시-14시","10월","사고건수[건]","건","279","230","283","261","286","314","308","309","303","262","335",
"월","12시-14시","10월","사망자수[명]","명","8","4","5","7","2","4","5","3","3","3","1",
"월","12시-14시","10월","부상자수[명]","명","406","292","440","390","414","450","455","428","422","414","498",
"월","12시-14시","11월","사고건수[건]","건","200","221","254","278","223","221","244","285","356","327","215",
"월","12시-14시","11월","사망자수[명]","명","8","3","3","7","3","1","5","2","6","4","1",
"월","12시-14시","11월","부상자수[명]","명","300","350","335","424","320","315","362","389","520","489","303",
"월","12시-14시","12월","사고건수[건]","건","255","266","270","222","208","202","300","298","238","230","207",
"월","12시-14시","12월","사망자수[명]","명","5","5","8","3","3","3","1","4","2","3","1",
"월","12시-14시","12월","부상자수[명]","명","377","370","393","307","305","309","396","417","338","302","284",
"월","14시-16시","전체","사고건수[건]","건","3336","3116","3379","3611","3452","3630","3474","3888","3779","3544","3318",
"월","14시-16시","전체","사망자수[명]","명","74","72","69","46","56","62","50","52","43","41","33",
"월","14시-16시","전체","부상자수[명]","명","5088","4489","4882","5254","5076","5152","5039","5593","5365","5071","4780",
"월","14시-16시","1월","사고건수[건]","건","261","208","226","211","250","314","295","250","273","230","310",
"월","14시-16시","1월","사망자수[명]","명","3","6","8","3","7","6","3","3","2","1","4",
"월","14시-16시","1월","부상자수[명]","명","444","293","304","296","393","466","436","350","408","342","444",
"월","14시-16시","2월","사고건수[건]","건","238","179","211","234","293","261","282","216","280","250","248",
"월","14시-16시","2월","사망자수[명]","명","4","1","2","2","7","5","6","3","1","6","3",
"월","14시-16시","2월","부상자수[명]","명","349","282","281","315","475","381","364","331","411","363","366",
"월","14시-16시","3월","사고건수[건]","건","222","243","318","335","243","240","216","272","280","303","194",
"월","14시-16시","3월","사망자수[명]","명","3","7","7","8","6","2","1","2","5","4","3",
"월","14시-16시","3월","부상자수[명]","명","326","316","444","470","342","327","302","360","382","468","274",
"월","14시-16시","4월","사고건수[건]","건","321","269","276","272","287","286","295","394","267","290","300",
"월","14시-16시","4월","사망자수[명]","명","15","6","4","5","3","6","8","9","0","3","2",
"월","14시-16시","4월","부상자수[명]","명","456","368","384","402","411","393","407","520","390","406","422",
"월","14시-16시","5월","사고건수[건]","건","291","272","270","329","392","385","248","291","324","369","352",
"월","14시-16시","5월","사망자수[명]","명","8","13","6","3","6","10","2","6","5","6","5",
"월","14시-16시","5월","부상자수[명]","명","466","402","432","556","566","511","353","419","457","492","463",
"월","14시-16시","6월","사고건수[건]","건","254","248","373","369","299","310","271","332","418","303","270",
"월","14시-16시","6월","사망자수[명]","명","5","7","9","7","6","1","5","2","4","5","3",
"월","14시-16시","6월","부상자수[명]","명","410","367","518","499","437","461","378","467","583","395","394",
"월","14시-16시","7월","사고건수[건]","건","352","342","234","287","284","354","328","427","269","286","251",
"월","14시-16시","7월","사망자수[명]","명","6","3","2","2","3","5","7","4","3","1","1",
"월","14시-16시","7월","부상자수[명]","명","518","534","337","402","423","473","513","631","393","425","354",
"월","14시-16시","8월","사고건수[건]","건","268","290","272","386","339","271","241","318","376","338","287",
"월","14시-16시","8월","사망자수[명]","명","8","3","4","5","8","4","3","5","5","3","4",
"월","14시-16시","8월","부상자수[명]","명","437","442","426","578","546","397","342","518","550","504","476",
"월","14시-16시","9월","사고건수[건]","건","255","316","334","297","267","283","283","390","334","250","237",
"월","14시-16시","9월","사망자수[명]","명","6","12","8","2","3","5","4","5","4","1","4",
"월","14시-16시","9월","부상자수[명]","명","362","414","552","450","346","406","464","563","466","334","349",
"월","14시-16시","10월","사고건수[건]","건","314","251","282","294","355","389","359","323","333","284","354",
"월","14시-16시","10월","사망자수[명]","명","5","9","4","4","2","6","5","6","7","5","2",
"월","14시-16시","10월","부상자수[명]","명","467","347","402","437","503","561","517","484","463","435","527",
"월","14시-16시","11월","사고건수[건]","건","259","240","285","340","243","286","299","332","365","369","269",
"월","14시-16시","11월","사망자수[명]","명","3","4","8","3","2","6","1","4","2","3","0",
"월","14시-16시","11월","부상자수[명]","명","386","350","379","484","342","400","431","455","495","528","369",
"월","14시-16시","12월","사고건수[건]","건","301","258","298","257","200","251","357","343","260","272","246",
"월","14시-16시","12월","사망자수[명]","명","8","1","7","2","3","6","5","3","5","3","2",
"월","14시-16시","12월","부상자수[명]","명","467","374","423","365","292","376","532","495","367","379","342",
"월","16시-18시","전체","사고건수[건]","건","3600","3513","3762","4104","3931","3940","4125","4395","4088","4023","3729",
"월","16시-18시","전체","사망자수[명]","명","73","83","80","63","69","62","45","53","48","38","40",
"월","16시-18시","전체","부상자수[명]","명","5213","5146","5471","5836","5669","5651","6049","6447","5744","5854","5250",
"월","16시-18시","1월","사고건수[건]","건","259","215","238","231","241","301","298","231","279","243","290",
"월","16시-18시","1월","사망자수[명]","명","4","10","4","2","5","11","1","4","2","5","3",
"월","16시-18시","1월","부상자수[명]","명","403","321","326","315","365","495","430","327","382","352","400",
"월","16시-18시","2월","사고건수[건]","건","225","172","217","283","300","229","296","246","247","289","242",
"월","16시-18시","2월","사망자수[명]","명","7","2","6","4","2","2","4","5","3","2","5",
"월","16시-18시","2월","부상자수[명]","명","333","277","298","405","480","347","458","350","344","421","332",
"월","16시-18시","3월","사고건수[건]","건","244","277","358","339","303","286","293","308","305","357","208",
"월","16시-18시","3월","사망자수[명]","명","5","7","5","9","5","5","5","4","6","5","0",
"월","16시-18시","3월","부상자수[명]","명","381","414","502","442","433","395","393","426","423","524","279",
"월","16시-18시","4월","사고건수[건]","건","356","315","286","319","327","295","387","470","303","332","302",
"월","16시-18시","4월","사망자수[명]","명","10","8","3","7","5","1","6","3","5","4","0",
"월","16시-18시","4월","부상자수[명]","명","502","467","375","469","453","404","539","724","435","511","425",
"월","16시-18시","5월","사고건수[건]","건","321","307","305","330","418","399","321","358","343","393","438",
"월","16시-18시","5월","사망자수[명]","명","4","10","5","5","6","9","8","2","3","1","6",
"월","16시-18시","5월","부상자수[명]","명","506","467","497","497","557","533","504","572","489","564","603",
"월","16시-18시","6월","사고건수[건]","건","290","272","387","399","316","337","345","349","509","378","293",
"월","16시-18시","6월","사망자수[명]","명","8","3","8","4","1","2","3","2","5","1","4",
"월","16시-18시","6월","부상자수[명]","명","398","419","560","553","471","468","477","523","716","549","393",
"월","16시-18시","7월","사고건수[건]","건","356","338","288","304","302","374","422","444","267","332","327",
"월","16시-18시","7월","사망자수[명]","명","9","5","7","2","5","7","3","5","3","1","2",
"월","16시-18시","7월","부상자수[명]","명","481","506","426","440","475","545","611","642","390","446","482",
"월","16시-18시","8월","사고건수[건]","건","288","299","307","416","393","341","310","358","375","374","338",
"월","16시-18시","8월","사망자수[명]","명","4","6","6","8","11","7","3","5","7","3","3",
"월","16시-18시","8월","부상자수[명]","명","412","451","468","589","566","483","455","530","568","554","495",
"월","16시-18시","9월","사고건수[건]","건","279","381","379","372","326","349","329","425","379","290","276",
"월","16시-18시","9월","사망자수[명]","명","6","9","6","5","8","3","2","2","2","6","4",
"월","16시-18시","9월","부상자수[명]","명","402","499","547","559","448","486","520","613","519","456","388",
"월","16시-18시","10월","사고건수[건]","건","370","289","300","388","364","427","401","356","344","310","370",
"월","16시-18시","10월","사망자수[명]","명","7","10","9","7","8","9","4","4","3","4","5",
"월","16시-18시","10월","부상자수[명]","명","515","413","450","535","496","618","588","535","459","447","576",
"월","16시-18시","11월","사고건수[건]","건","297","288","338","414","353","347","326","389","443","433","355",
"월","16시-18시","11월","사망자수[명]","명","4","1","9","9","6","3","3","12","6","5","6",
"월","16시-18시","11월","부상자수[명]","명","427","399","479","581","515","521","454","557","613","617","479",
"월","16시-18시","12월","사고건수[건]","건","315","360","359","309","288","255","397","461","294","292","290",
"월","16시-18시","12월","사망자수[명]","명","5","12","12","1","7","3","3","5","3","1","2",
"월","16시-18시","12월","부상자수[명]","명","453","513","543","451","410","356","620","648","406","413","398",
"월","18시-20시","전체","사고건수[건]","건","4189","4000","4223","4514","4202","4034","4408","4591","4401","4272","3846",
"월","18시-20시","전체","사망자수[명]","명","102","98","81","92","76","71","67","52","52","48","41",
"월","18시-20시","전체","부상자수[명]","명","6089","5652","5929","6446","5985","5810","6216","6402","6103","5930","5238",
"월","18시-20시","1월","사고건수[건]","건","339","314","299","350","350","377","437","322","394","361","387",
"월","18시-20시","1월","사망자수[명]","명","5","6","6","15","4","5","11","7","7","1","9",
"월","18시-20시","1월","부상자수[명]","명","499","418","435","482","544","516","605","411","591","492","547",
"월","18시-20시","2월","사고건수[건]","건","342","216","304","375","375","306","332","281","340","333","273",
"월","18시-20시","2월","사망자수[명]","명","13","6","7","4","6","4","5","4","4","4","3",
"월","18시-20시","2월","부상자수[명]","명","467","321","463","535","547","434","486","425","465","465","369",
"월","18시-20시","3월","사고건수[건]","건","287","292","371","341","308","286","289","316","376","405","240",
"월","18시-20시","3월","사망자수[명]","명","6","6","7","9","6","4","4","5","6","7","3",
"월","18시-20시","3월","부상자수[명]","명","412","402","497","458","438","376","411","440","524","569","314",
"월","18시-20시","4월","사고건수[건]","건","423","302","282","315","294","301","380","420","284","316","277",
"월","18시-20시","4월","사망자수[명]","명","6","7","6","2","4","5","4","3","1","3","2",
"월","18시-20시","4월","부상자수[명]","명","591","415","391","481","417","442","542","607","408","431","397",
"월","18시-20시","5월","사고건수[건]","건","306","300","308","325","381","370","255","306","306","340","332",
"월","18시-20시","5월","사망자수[명]","명","5","5","3","2","3","3","3","5","1","3","4",
"월","18시-20시","5월","부상자수[명]","명","435","442","426","491","536","550","395","436","425","459","434",
"월","18시-20시","6월","사고건수[건]","건","310","302","353","368","253","255","313","311","412","314","240",
"월","18시-20시","6월","사망자수[명]","명","6","4","5","2","1","3","2","2","2","5","2",
"월","18시-20시","6월","부상자수[명]","명","410","419","514","513","337","375","426","411","581","429","335",
"월","18시-20시","7월","사고건수[건]","건","340","307","276","271","273","329","387","451","252","290","289",
"월","18시-20시","7월","사망자수[명]","명","10","11","4","1","4","9","2","4","1","2","0",
"월","18시-20시","7월","부상자수[명]","명","506","429","390","371","380","482","538","633","332","385","385",
"월","18시-20시","8월","사고건수[건]","건","270","329","282","405","358","314","302","301","398","359","322",
"월","18시-20시","8월","사망자수[명]","명","4","7","5","8","9","1","6","3","8","5","7",
"월","18시-20시","8월","부상자수[명]","명","425","448","385","601","518","477","421","434","585","538","427",
"월","18시-20시","9월","사고건수[건]","건","337","410","424","331","346","346","328","522","387","329","322",
"월","18시-20시","9월","사망자수[명]","명","5","8","9","5","4","11","7","7","3","2","3",
"월","18시-20시","9월","부상자수[명]","명","514","581","597","439","481","505","476","703","529","447","429",
"월","18시-20시","10월","사고건수[건]","건","463","413","395","472","471","475","485","440","395","396","434",
"월","18시-20시","10월","사망자수[명]","명","16","13","8","20","16","14","13","6","4","7","2",
"월","18시-20시","10월","부상자수[명]","명","684","624","569","676","685","709","670","616","549","591","612",
"월","18시-20시","11월","사고건수[건]","건","382","367","459","594","412","371","379","442","496","464","390",
"월","18시-20시","11월","사망자수[명]","명","10","12","14","13","12","4","4","4","9","2","4",
"월","18시-20시","11월","부상자수[명]","명","555","518","608","887","576","511","497","619","663","644","530",
"월","18시-20시","12월","사고건수[건]","건","390","448","470","367","381","304","521","479","361","365","340",
"월","18시-20시","12월","사망자수[명]","명","16","13","7","11","7","8","6","2","6","7","2",
"월","18시-20시","12월","부상자수[명]","명","591","635","654","512","526","433","749","667","451","480","459",
"월","20시-22시","전체","사고건수[건]","건","3607","3176","3245","3381","3053","2864","2945","2808","2866","2786","2543",
"월","20시-22시","전체","사망자수[명]","명","86","83","65","51","57","64","44","57","37","49","40",
"월","20시-22시","전체","부상자수[명]","명","5239","4620","4672","4916","4388","4068","4297","3978","4134","3912","3607",
"월","20시-22시","1월","사고건수[건]","건","270","208","220","210","214","251","243","190","260","257","305",
"월","20시-22시","1월","사망자수[명]","명","5","3","2","5","1","4","3","2","4","4","3",
"월","20시-22시","1월","부상자수[명]","명","425","297","307","312","322","388","368","269","379","336","456",
"월","20시-22시","2월","사고건수[건]","건","266","188","226","242","236","207","226","206","238","213","188",
"월","20시-22시","2월","사망자수[명]","명","7","8","8","3","3","5","0","4","1","4","1",
"월","20시-22시","2월","부상자수[명]","명","401","288","316","343","375","289","345","323","355","326","253",
"월","20시-22시","3월","사고건수[건]","건","306","225","310","324","250","200","220","221","250","245","127",
"월","20시-22시","3월","사망자수[명]","명","7","4","7","2","5","5","5","3","4","1","2",
"월","20시-22시","3월","부상자수[명]","명","445","320","435","491","353","281","297","324","365","349","173",
"월","20시-22시","4월","사고건수[건]","건","410","304","243","298","252","233","316","254","215","243","187",
"월","20시-22시","4월","사망자수[명]","명","14","6","6","4","10","4","7","2","1","3","1",
"월","20시-22시","4월","부상자수[명]","명","543","452","341","430","372","340","443","358","306","341","292",
"월","20시-22시","5월","사고건수[건]","건","304","316","227","303","336","274","227","217","247","260","242",
"월","20시-22시","5월","사망자수[명]","명","4","8","5","5","7","5","3","3","1","3","2",
"월","20시-22시","5월","부상자수[명]","명","460","484","349","423","461","377","340","324","362","344","330",
"월","20시-22시","6월","사고건수[건]","건","286","279","360","326","227","235","234","226","318","183","195",
"월","20시-22시","6월","사망자수[명]","명","13","13","6","10","6","7","1","5","2","5","6",
"월","20시-22시","6월","부상자수[명]","명","391","353","485","449","319","332","315","323","448","271","275",
"월","20시-22시","7월","사고건수[건]","건","321","319","271","260","253","298","309","254","229","211","188",
"월","20시-22시","7월","사망자수[명]","명","5","10","6","5","5","6","6","11","5","0","0",
"월","20시-22시","7월","부상자수[명]","명","429","478","387","385","323","437","432","346","314","277","265",
"월","20시-22시","8월","사고건수[건]","건","269","272","296","326","283","264","224","223","261","293","245",
"월","20시-22시","8월","사망자수[명]","명","8","9","6","2","7","7","4","5","5","9","5",
"월","20시-22시","8월","부상자수[명]","명","410","396","444","483","430","340","347","294","407","420","340",
"월","20시-22시","9월","사고건수[건]","건","273","283","285","265","255","239","235","317","229","215","224",
"월","20시-22시","9월","사망자수[명]","명","6","6","10","4","1","9","2","5","4","4","5",
"월","20시-22시","9월","부상자수[명]","명","380","414","413","412","382","357","370","447","329","290","310",
"월","20시-22시","10월","사고건수[건]","건","323","259","252","226","296","281","245","232","184","221","214",
"월","20시-22시","10월","사망자수[명]","명","2","7","4","5","7","9","5","7","2","5","4",
"월","20시-22시","10월","부상자수[명]","명","502","355","372","347","427","403","359","321","265","310","307",
"월","20시-22시","11월","사고건수[건]","건","269","221","241","352","231","217","199","217","239","229","224",
"월","20시-22시","11월","사망자수[명]","명","6","3","3","3","4","1","1","3","6","4","2",
"월","20시-22시","11월","부상자수[명]","명","388","329","363","502","312","294","280","292","337","323","337",
"월","20시-22시","12월","사고건수[건]","건","310","302","314","249","220","165","267","251","196","216","204",
"월","20시-22시","12월","사망자수[명]","명","9","6","2","3","1","2","7","7","2","7","9",
"월","20시-22시","12월","부상자수[명]","명","465","454","460","339","312","230","401","357","267","325","269",
"월","22시-24시","전체","사고건수[건]","건","3170","2780","2748","2745","2418","2301","2218","2038","1850","1822","1680",
"월","22시-24시","전체","사망자수[명]","명","52","65","60","67","43","42","31","41","23","34","26",
"월","22시-24시","전체","부상자수[명]","명","4847","4231","4107","4121","3683","3543","3363","2993","2735","2660","2364",
"월","22시-24시","1월","사고건수[건]","건","266","190","184","213","173","232","193","153","158","93","132",
"월","22시-24시","1월","사망자수[명]","명","3","4","3","6","7","0","5","1","2","2","4",
"월","22시-24시","1월","부상자수[명]","명","426","294","277","300","266","349","310","227","226","132","180",
"월","22시-24시","2월","사고건수[건]","건","265","204","175","206","256","159","179","141","157","136","130",
"월","22시-24시","2월","사망자수[명]","명","4","9","2","6","4","4","1","1","1","1","2",
"월","22시-24시","2월","부상자수[명]","명","420","329","242","298","429","242","274","223","222","195","172",
"월","22시-24시","3월","사고건수[건]","건","289","198","274","211","164","169","158","155","160","187","136",
"월","22시-24시","3월","사망자수[명]","명","11","8","7","5","2","2","0","3","4","1","1",
"월","22시-24시","3월","부상자수[명]","명","417","309","398","322","242","266","231","240","242","280","184",
"월","22시-24시","4월","사고건수[건]","건","351","284","231","219","168","165","220","190","132","158","143",
"월","22시-24시","4월","사망자수[명]","명","6","7","4","6","1","5","4","3","1","3","3",
"월","22시-24시","4월","부상자수[명]","명","518","459","339","326","279","245","322","262","194","230","215",
"월","22시-24시","5월","사고건수[건]","건","241","284","196","278","269","223","182","152","149","188","171",
"월","22시-24시","5월","사망자수[명]","명","4","8","3","8","5","5","2","3","1","2","4",
"월","22시-24시","5월","부상자수[명]","명","363","404","328","412","395","354","266","222","223","273","246",
"월","22시-24시","6월","사고건수[건]","건","237","241","319","242","173","190","195","156","226","142","113",
"월","22시-24시","6월","사망자수[명]","명","4","4","8","9","2","5","2","4","3","4","2",
"월","22시-24시","6월","부상자수[명]","명","365","353","464","374","260","269","303","221","336","209","172",
"월","22시-24시","7월","사고건수[건]","건","276","231","209","245","209","254","240","184","160","139","120",
"월","22시-24시","7월","사망자수[명]","명","7","2","8","9","3","7","3","4","1","0","1",
"월","22시-24시","7월","부상자수[명]","명","404","346","307","374","295","416","369","264","239","206","165",
"월","22시-24시","8월","사고건수[건]","건","237","174","230","264","208","201","145","160","184","175","188",
"월","22시-24시","8월","사망자수[명]","명","3","3","6","4","3","4","6","7","2","3","3",
"월","22시-24시","8월","부상자수[명]","명","359","263","358","406","310","332","229","243","294","240","248",
"월","22시-24시","9월","사고건수[건]","건","248","257","213","187","213","172","186","214","143","148","140",
"월","22시-24시","9월","사망자수[명]","명","1","6","6","2","7","2","2","4","3","5","1",
"월","22시-24시","9월","부상자수[명]","명","396","395","334","287","305","232","295","292","204","237","209",
"월","22시-24시","10월","사고건수[건]","건","225","222","182","209","214","185","183","155","133","145","167",
"월","22시-24시","10월","사망자수[명]","명","3","6","2","3","2","2","3","2","2","3","2",
"월","22시-24시","10월","부상자수[명]","명","330","314","271","312","310","278","278","217","188","228","235",
"월","22시-24시","11월","사고건수[건]","건","248","201","255","264","199","163","121","167","141","172","127",
"월","22시-24시","11월","사망자수[명]","명","1","3","3","2","3","4","3","3","1","5","2",
"월","22시-24시","11월","부상자수[명]","명","398","326","367","411","312","259","178","238","200","237","165",
"월","22시-24시","12월","사고건수[건]","건","287","294","280","207","172","188","216","211","107","139","113",
"월","22시-24시","12월","사망자수[명]","명","5","5","8","7","4","2","0","6","2","5","1",
"월","22시-24시","12월","부상자수[명]","명","451","439","422","299","280","301","308","344","167","193","173",
"화","00시-02시","전체","사고건수[건]","건","1956","1799","1611","1723","1389","1307","1265","1235","1117","759","773",
"화","00시-02시","전체","사망자수[명]","명","57","54","52","43","35","37","30","38","33","17","26",
"화","00시-02시","전체","부상자수[명]","명","3061","2877","2519","2633","2118","1995","1913","1879","1664","1124","1140",
"화","00시-02시","1월","사고건수[건]","건","191","227","102","124","95","127","137","118","99","36","37",
"화","00시-02시","1월","사망자수[명]","명","3","6","2","3","1","3","6","4","2","0","4",
"화","00시-02시","1월","부상자수[명]","명","313","409","145","196","157","181","193","177","160","50","45",
"화","00시-02시","2월","사고건수[건]","건","172","135","106","134","105","111","128","102","98","44","36",
"화","00시-02시","2월","사망자수[명]","명","11","5","8","2","4","2","2","3","2","0","4",
"화","00시-02시","2월","부상자수[명]","명","266","201","180","216","172","180","195","143","141","67","59",
"화","00시-02시","3월","사고건수[건]","건","181","110","109","126","147","86","72","87","108","88","34",
"화","00시-02시","3월","사망자수[명]","명","9","2","1","3","2","4","2","3","2","1","1",
"화","00시-02시","3월","부상자수[명]","명","288","174","159","187","238","125","108","125","165","128","54",
"화","00시-02시","4월","사고건수[건]","건","163","168","177","165","102","92","91","112","72","60","94",
"화","00시-02시","4월","사망자수[명]","명","3","1","3","5","4","1","2","6","3","3","1",
"화","00시-02시","4월","부상자수[명]","명","272","263","271","248","168","140","129","179","97","90","157",
"화","00시-02시","5월","사고건수[건]","건","178","165","123","153","159","126","128","105","104","64","78",
"화","00시-02시","5월","사망자수[명]","명","4","3","4","4","3","6","1","1","3","2","4",
"화","00시-02시","5월","부상자수[명]","명","270","252","192","230","238","192","189","168","162","92","110",
"화","00시-02시","6월","사고건수[건]","건","147","135","133","160","89","106","90","93","107","68","52",
"화","00시-02시","6월","사망자수[명]","명","2","5","0","4","3","4","1","8","3","4","1",
"화","00시-02시","6월","부상자수[명]","명","224","201","225","234","128","158","146","164","154","102","77",
"화","00시-02시","7월","사고건수[건]","건","174","162","148","142","121","126","131","96","121","64","65",
"화","00시-02시","7월","사망자수[명]","명","8","4","7","3","2","2","2","3","6","1","2",
"화","00시-02시","7월","부상자수[명]","명","272","271","228","222","185","200","204","125","181","100","87",
"화","00시-02시","8월","사고건수[건]","건","160","128","157","133","130","139","103","87","104","59","102",
"화","00시-02시","8월","사망자수[명]","명","2","7","7","5","2","2","4","2","5","1","2",
"화","00시-02시","8월","부상자수[명]","명","249","203","226","209","195","222","149","137","151","84","140",
"화","00시-02시","9월","사고건수[건]","건","127","124","155","160","108","93","99","97","104","53","66",
"화","00시-02시","9월","사망자수[명]","명","5","4","6","3","5","3","2","1","2","5","2",
"화","00시-02시","9월","부상자수[명]","명","175","180","228","253","152","139","182","139","145","81","97",
"화","00시-02시","10월","사고건수[건]","건","158","169","111","135","99","113","119","120","63","50","62",
"화","00시-02시","10월","사망자수[명]","명","1","2","9","1","5","5","0","1","1","0","1",
"화","00시-02시","10월","부상자수[명]","명","272","283","152","191","138","175","161","171","91","76","98",
"화","00시-02시","11월","사고건수[건]","건","152","121","123","133","134","109","68","95","88","113","92",
"화","00시-02시","11월","사망자수[명]","명","3","4","3","6","1","4","4","3","2","0","4",
"화","00시-02시","11월","부상자수[명]","명","221","181","217","196","197","156","114","154","140","159","134",
"화","00시-02시","12월","사고건수[건]","건","153","155","167","158","100","79","99","123","49","60","55",
"화","00시-02시","12월","사망자수[명]","명","6","11","2","4","3","1","4","3","2","0","0",
"화","00시-02시","12월","부상자수[명]","명","239","259","296","251","150","127","143","197","77","95","82",
"화","02시-04시","전체","사고건수[건]","건","1072","1045","912","867","764","676","749","642","562","321","421",
"화","02시-04시","전체","사망자수[명]","명","40","41","28","35","29","27","27","22","22","18","15",
"화","02시-04시","전체","부상자수[명]","명","1691","1569","1421","1342","1129","988","1112","963","866","456","598",
"화","02시-04시","1월","사고건수[건]","건","93","122","66","73","55","57","77","66","46","15","14",
"화","02시-04시","1월","사망자수[명]","명","4","4","1","1","2","0","1","4","1","0","0",
"화","02시-04시","1월","부상자수[명]","명","139","206","104","105","76","96","114","96","65","18","19",
"화","02시-04시","2월","사고건수[건]","건","101","76","73","58","67","40","66","45","45","29","9",
"화","02시-04시","2월","사망자수[명]","명","6","3","4","6","2","1","3","1","2","2","1",
"화","02시-04시","2월","부상자수[명]","명","151","104","118","76","108","55","111","71","84","39","10",
"화","02시-04시","3월","사고건수[건]","건","86","65","60","73","100","60","53","42","47","22","26",
"화","02시-04시","3월","사망자수[명]","명","4","3","3","1","1","4","2","1","4","1","0",
"화","02시-04시","3월","부상자수[명]","명","143","96","98","115","141","87","72","64","76","33","33",
"화","02시-04시","4월","사고건수[건]","건","89","115","71","70","45","46","58","61","49","24","45",
"화","02시-04시","4월","사망자수[명]","명","3","4","3","1","2","2","2","1","2","0","2",
"화","02시-04시","4월","부상자수[명]","명","126","177","111","119","67","66","78","101","81","41","62",
"화","02시-04시","5월","사고건수[건]","건","95","91","64","92","90","77","85","39","50","38","46",
"화","02시-04시","5월","사망자수[명]","명","4","2","1","1","3","5","6","2","0","5","0",
"화","02시-04시","5월","부상자수[명]","명","143","133","106","140","124","109","127","59","78","56","73",
"화","02시-04시","6월","사고건수[건]","건","84","90","70","84","48","48","47","45","71","38","37",
"화","02시-04시","6월","사망자수[명]","명","2","3","1","1","4","2","1","0","2","3","2",
"화","02시-04시","6월","부상자수[명]","명","128","128","114","140","65","62","71","63","106","55","56",
"화","02시-04시","7월","사고건수[건]","건","85","95","83","87","57","54","73","65","54","28","35",
"화","02시-04시","7월","사망자수[명]","명","3","4","4","6","2","2","0","4","3","3","1",
"화","02시-04시","7월","부상자수[명]","명","138","148","115","140","102","83","113","88","72","34","47",
"화","02시-04시","8월","사고건수[건]","건","91","66","96","61","65","85","58","59","51","28","53",
"화","02시-04시","8월","사망자수[명]","명","3","3","4","1","4","2","3","1","3","0","2",
"화","02시-04시","8월","부상자수[명]","명","154","86","154","98","94","119","82","86","70","50","71",
"화","02시-04시","9월","사고건수[건]","건","80","77","100","75","58","42","58","58","50","24","46",
"화","02시-04시","9월","사망자수[명]","명","4","2","2","4","4","0","5","2","1","1","2",
